query,expectedCategory,gotCategory,expectedDenom,gotDenom,expectedDest,gotDest,resultCount,error,status,note
מניין ערבית נוסח יתמן,minyan,minyan,teimanim,teimanim,,Tel Aviv,,,✅ OK,minyan
חביתה פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה איטלקי מומלץ בתאילנד,restaurant,restaurant,,,תאילנד,Thailand,,,✅ OK?,לא נספר
אירוח לשבת ברחובות,hosting,hosting,,,רחובות,Rehovot,,,✅ OK,hosting
אירוח לשבת בוינה,hosting,hosting,,,,Vienna,,,✅ OK,hosting
פסטה שווה רבנות קרוב אליי למשפחות,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת חסידי במרוקו,synagogue,synagogue,chabad,chabad,מרוקו,Morocco,,,✅ OK?,לא נספר
מסעדה צמחוני עם משלוחים,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
שקשוקה לא יקר,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
אילת,destination,destination,,,אילת,Eilat,,,✅ OK,destination
מניין נץ בברצלונה,minyan,minyan,,,ברצלונה,Barcelona,,,✅ OK,minyan
מסעדה אסייתי בבני ברק,restaurant,restaurant,,,בני ברק,Bnei Brak,,,✅ OK?,לא נספר
מסעדה צחמוני מהדרין,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
סלט גלאט ביוון,restaurant,restaurant,,,יוון,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
ראמן בפתח תקווה רומנטי,restaurant,restaurant,,,פתח תקווה,Petah Tikva,,,✅ OK?,לא נספר
מדריד,destination,,,,מדריד,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה בשרי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין נץ בלונדון,minyan,minyan,,,לונדון,London,,,✅ OK,minyan
רעננה,destination,destination,,,רעננה,Ra'anana,,,✅ OK,destination
מניי נץ נוסח אשכנז כאן,minyan,minyan,ashkenaz,ashkenaz,,New York,,,✅ OK,minyan
מסעדה טבעוני זול בעפולה,restaurant,restaurant,,,עפולה,Afula,,,✅ OK?,לא נספר
בתי כנסת בציריך,synagogue,synagogue,,,ציריך,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה טבעוני לא יקר בד״ץ ליד מדריד,restaurant,restaurant,,,מדריד,Lod,,,✅ OK?,לא נספר
שניצל גלאט כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין מוסף בהוד,minyan,minyan,,,הודו,Hod HaSharon,,,✅ OK,minyan
מיאמי,destination,destination,,,מיאמי,Miami,,,✅ OK,destination
מסעדה בשרי ליד ארגנטינה,restaurant,restaurant,,,ארגנטינה,Argentina,,,✅ OK?,לא נספר
טוסט בד״ץ ברעננה,restaurant,restaurant,,,רעננה,Ra'anana,,,✅ OK?,לא נספר
מסעדה ים תיכוני שווה באילת,restaurant,restaurant,,,אילת,Eilat,,,✅ OK?,לא נספר
גלידה שווה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה כשרה בכפר סבא,restaurant,restaurant,,,כפר סבא,Kfar Saba,,,✅ OK?,לא נספר
שוקולד מהדרין ליד הים,restaurant,restaurant,,,,Lod,,,✅ OK?,לא נספר
מסעדה סיני לא יקר גלאט בלוס אנג׳לס,restaurant,restaurant,,,לוס אנג׳לס,Los Angeles,,,✅ OK?,לא נספר
בייגל בזכרון יעקב,restaurant,restaurant,,,זכרון יעקב,Zichron Yaakov,,,✅ OK?,לא נספר
מסעדה טבעוני לא יקר בדימונה,restaurant,restaurant,,,דימונה,Dimona,,,✅ OK?,לא נספר
מסעדה איטלקי בד״ץ בלונדון,restaurant,restaurant,,,לונדון,London,,,✅ OK?,לא נספר
בית כנתס ליטאי ביבנה,synagogue,synagogue,ashkenaz,ashkenaz,יבנה,Yavne,,,✅ OK?,לא נספר
מניין ערבית,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
נודלס שווה ברומא,restaurant,restaurant,,,רומא,Rome,,,✅ OK?,לא נספר
מסעדה צמחוני מהדרין לידי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
דגים מהדרין בפראג,restaurant,restaurant,,,פראג,Prague,,,✅ OK?,לא נספר
מסעדה בשרי שווה מהדרין ליד תל אביב,restaurant,restaurant,,,תל אביב,Tel Aviv,,,✅ OK?,לא נספר
מסעדה סיני ברמלה,restaurant,restaurant,,,רמלה,Ramla,,,✅ OK?,לא נספר
בית כנסת תימני קרוב אליי,synagogue,synagogue,teimanim,teimanim,,Tel Aviv,,,✅ OK?,לא נספר
מניין שחרית בהולנד,minyan,minyan,,,הולנד,Netherlands,,,✅ OK,minyan
לינה לשבת בנאפולי,hosting,hosting,,,נאפולי,Vienna,,,✅ OK,hosting
בתי כנסת סרפדי באיטליה,synagogue,synagogue,sfarad,,איטליה,Italy,,,✅ OK?,לא נספר
בית כנסת במודיעין,synagogue,synagogue,,,מודיעין,Modiin,,,✅ OK?,לא נספר
מניין ערבית נוסח אשכנז באמסטרדם,minyan,minyan,ashkenaz,ashkenaz,אמסטרדם,Amsterdam,,,✅ OK,minyan
בתי כנסת עדות המזרח לידי,synagogue,synagogue,sfarad,sfarad,,Tel Aviv,,,✅ OK?,לא נספר
פוקה בארה״ב,restaurant,restaurant,,,ארה״ב,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
הולנד,destination,,,,הולנד,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין מנחה בברלין,minyan,minyan,,,ברלין,Berlin,,,✅ OK,minyan
מסעדה כשרה בחיפה,restaurant,restaurant,,,חיפה,Haifa,,,✅ OK?,לא נספר
בית כנסת ליד לוד,synagogue,synagogue,,,לוד,Lod,,,✅ OK?,לא נספר
לזניה בפראג,restaurant,restaurant,,,פראג,Prague,,,✅ OK?,לא נספר
קרית גת,destination,destination,,,קרית גת,Kiryat Gat,,,✅ OK,destination
מסעדה חלבי בעפולה,restaurant,restaurant,,,עפולה,Afula,,,✅ OK?,לא נספר
מניין ערבית ליטאי ברמת גן,minyan,minyan,ashkenaz,ashkenaz,רמת גן,Ramat Gan,,,✅ OK,minyan
פיצה הכי טוב ליד הוד השרון,restaurant,restaurant,,,הוד השרון,Hod HaSharon,,,✅ OK?,לא נספר
מסעדה טבעוני מהדרין באשקלון,restaurant,restaurant,,,אשקלון,Ashkelon,,,✅ OK?,לא נספר
ארוחת ליל שבת בנהריה,hosting,hosting,,,,Nahariya,,,✅ OK,hosting
בית כנסת מרוקאי ליד רומא,synagogue,synagogue,sfarad,sfarad,רומא,Rome,,,✅ OK?,לא נספר
מלבי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בי כנסת נוסח אשכנז בגן יבנה,synagogue,synagogue,ashkenaz,ashkenaz,גן יבנה,Gan Yavne,,,✅ OK?,לא נספר
מסעדה כשרה במיאמי,restaurant,restaurant,,,מיאמי,Miami,,,✅ OK?,לא נספר
איפה יש אוכל כשר בשדרות,restaurant,restaurant,,,שדרות,Sderot,,,✅ OK?,לא נספר
ניוקי קרוב אליי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בתי כנסת במעלה אדומים,synagogue,synagogue,,,מעלה אדומים,Ma'ale Adumim,,,✅ OK?,לא נספר
פנקייק,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בת כנסת בלאדי,synagogue,synagogue,teimanim,teimanim,,Tel Aviv,,,✅ OK?,לא נספר
מחפש טוסט טוב בארגנטינה,restaurant,restaurant,,,ארגנטינה,Argentina,,,✅ OK?,לא נספר
בית כנסת בפריז,synagogue,synagogue,,,פריז,Paris,,,✅ OK?,לא נספר
סעודה שלישית בברזיל,hosting,hosting,,,,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין מנחה וערבית אשכנזי בלוד,minyan,minyan,ashkenaz,ashkenaz,לוד,Lod,,,✅ OK,minyan
מסעדה חלבי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
ליד המלון,any,synagogue,,,,Lod,,,✅ OK?,לא נספר
בית כנסת ליטאי בברזיל,synagogue,synagogue,ashkenaz,ashkenaz,ברזיל,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין מנחה וערבית לידי,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
בית כנסת ליטאי באור יהודה,synagogue,synagogue,ashkenaz,ashkenaz,אור יהודה,Or Yehuda,,,✅ OK?,לא נספר
קובה הכי טוב ליד ניו יורק,restaurant,restaurant,,,ניו יורק,New York,,,✅ OK?,לא נספר
מסעדה חלבי ליד בני ברק ליד הים,restaurant,restaurant,,,בני ברק,Bnei Brak,,,✅ OK?,לא נספר
אתונה,destination,,,,אתונה,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אוכל,any,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה פרווה במונטריאול,restaurant,restaurant,,,מונטריאול,Montreal,,,✅ OK?,לא נספר
מסעדה סיני בחדרה,restaurant,restaurant,,,חדרה,Hadera,,,✅ OK?,לא נספר
בתי כנסת ספרדי ברומא,synagogue,synagogue,sfarad,sfarad,רומא,Rome,,,✅ OK?,לא נספר
גן יבנה,destination,synagogue,,,גן יבנה,Gan Yavne,,,✅ OK,synagogue
איפה יש אוכל כשר בתאילנד,restaurant,restaurant,,,תאילנד,Thailand,,,✅ OK?,לא נספר
ארה״ב,destination,,,,ארה״ב,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין מנחה וערבית,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
פרגית בתב ים,restaurant,restaurant,,,בת ים,Bat Yam,,,✅ OK?,לא נספר
בתי כנסת נוסח ספרד באילת,synagogue,synagogue,sfarad,sfarad,אילת,Eilat,,,✅ OK?,לא נספר
מרקש,destination,minyan,,,מרקש,Marrakech,,,✅ OK,minyan
בית כנסת בבואנוס אייר,synagogue,synagogue,,,בואנוס איירס,Buenos Aires,,,✅ OK?,לא נספר
מניין מנחה חב״ד בהוד השרון,minyan,minyan,chabad,chabad,הוד השרון,Hod HaSharon,,,✅ OK,minyan
מסעדה טבעוני גלאט לידי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה פרווה רבנות בארגנטינה לארוחת בוקר,restaurant,restaurant,,,ארגנטינה,Argentina,,,✅ OK?,לא נספר
בית כנסת נוסח תימן ליד צרפת,synagogue,synagogue,teimanim,teimanim,צרפת,France,,,✅ OK?,לא נספר
בית כנסת נוסח אשכנז בהרצליה,synagogue,synagogue,ashkenaz,ashkenaz,הרצליה,Herzliya,,,✅ OK?,לא נספר
מחפש פרגית טוב בבת ים,restaurant,restaurant,,,בת ים,Bat Yam,,,✅ OK?,לא נספר
בית כנסת אשכנזי פה,synagogue,synagogue,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK?,לא נספר
איפה אפשר לאכול פסטה במקסיקו סיטי,restaurant,restaurant,,,מקסיקו סיטי,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
גלידה שוו,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין מנחה בספרד,minyan,minyan,,,ספרד,Spain,,,✅ OK,minyan
מסעדה טורקי בד״ץ ליד ליון,restaurant,restaurant,,,ליון,Lod,,,✅ OK?,לא נספר
איפ אפשר לאכול סלט בונציה,restaurant,restaurant,,,ונציה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
סושי ביקנעם פוח עכשיו,restaurant,restaurant,,,יקנעם,Yokneam,,,✅ OK?,לא נספר
פיצה זול גלאט ליד ברצלונה,restaurant,restaurant,,,ברצלונה,Barcelona,,,✅ OK?,לא נספר
קבב מהדרין פתוח עכשיו,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין מוסף עדות המזרח לידי,minyan,minyan,sfarad,sfarad,,Tel Aviv,,,✅ OK,minyan
בואנוס איירס,destination,destination,,,בואנוס איירס,Buenos Aires,,,✅ OK,destination
בית כנסת ליטאי ליד יבנה,synagogue,synagogue,ashkenaz,ashkenaz,יבנה,Yavne,,,✅ OK?,לא נספר
פנקייק ליד תל אביב,restaurant,restaurant,,,תל אביב,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת נוסח אשכנז בבית שמש,synagogue,synagogue,ashkenaz,ashkenaz,בית שמש,Beit Shemesh,,,✅ OK?,לא נספר
בייגל יוקרתי בד״ץ עם משלוחים,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
ברזיל,destination,,,,ברזיל,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בני ברק,destination,minyan,,,בני ברק,Bnei Brak,,,✅ OK,minyan
מקום טוב לאכול בתל אביב,restaurant,restaurant,,,תל אביב,Tel Aviv,,,✅ OK?,לא נספר
דגים בגבעתיים,restaurant,restaurant,,,גבעתיים,Givatayim,,,✅ OK?,לא נספר
מסעדה אסייתי באשקלון,restaurant,restaurant,,,אשקלון,Ashkelon,,,✅ OK?,לא נספר
מסעדה פרווה בכפר סבא,restaurant,restaurant,,,כפר סבא,Kfar Saba,,,✅ OK?,לא נספר
רמלה,destination,destination,,,רמלה,Ramla,,,✅ OK,destination
לינה לשבת באזור,hosting,hosting,,,גדרה,Vienna,,,✅ OK,hosting
בית כנסת נוסח אשכנז קרו אליי,synagogue,synagogue,ashkenaz,ashkenaz,,,,destination_not_found,❌ NO_RESULT,destination_not_found
בית כנסת עדות המזרח בעכו,synagogue,synagogue,sfarad,sfarad,עכו,Akko,,,✅ OK?,לא נספר
קבב מהדרין בפראג,restaurant,restaurant,,,פראג,Prague,,,✅ OK?,לא נספר
שווארמה זול בבית שמש לארוחת בוקר,restaurant,restaurant,,,בית שמש,Beit Shemesh,,,✅ OK?,לא נספר
טאקו ליד מונטריאול,restaurant,restaurant,,,מונטריאול,Montreal,,,✅ OK?,לא נספר
מסעדה הודי בד״ץ בעפולה,restaurant,restaurant,,,עפולה,Afula,,,✅ OK?,לא נספר
ירושלים,destination,destination,,,ירושלים,Jerusalem,,,✅ OK,destination
מסעדה אמריקאי פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת אשכנזי ליד יקנעם,synagogue,synagogue,ashkenaz,ashkenaz,יקנעם,Yokneam,,,✅ OK?,לא נספר
בית כנסת תימני באמסטרדם,synagogue,synagogue,teimanim,teimanim,אמסטרדם,Amsterdam,,,✅ OK?,לא נספר
ארוחת ליל שבת בניו יורק,hosting,hosting,,,,New York,,,✅ OK,hosting
מנגל מומלץ ליד רעננה,restaurant,restaurant,,,רעננה,Ra'anana,,,✅ OK?,לא נספר
מחפש אנטריקוט טוב בברלין,restaurant,restaurant,,,ברלין,Berlin,,,✅ OK?,לא נספר
דימונה,destination,destination,,,דימונה,Dimona,,,✅ OK,destination
מסעדה פרווה לד מקסיקו סיטי,restaurant,restaurant,,,מקסיקו סיטי,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה אסייתי בהולנד,restaurant,restaurant,,,הולנד,Netherlands,,,✅ OK?,לא נספר
מניין מוסף ליטאי במקסיקו סיטי,minyan,minyan,ashkenaz,ashkenaz,מקסיקו סיטי,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
המבורגר לידי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת באשקלון,synagogue,synagogue,,,אשקלון,Ashkelon,,,✅ OK?,לא נספר
בודפשט,destination,destination,,,בודפשט,Budapest,,,✅ OK,destination
מסעדה טבעוני רבנות ליד תאילנד לארוחת בוקר,restaurant,restaurant,,,תאילנד,Thailand,,,✅ OK?,לא נספר
הרצליה,destination,destination,,,הרצליה,Herzliya,,,✅ OK,destination
בייגל לא יקר מהדרין בהוד השרון,restaurant,restaurant,,,הוד השרון,Hod HaSharon,,,✅ OK?,לא נספר
בתי כנסת במיאמי,synagogue,synagogue,,,מיאמי,Miami,,,✅ OK?,לא נספר
מסעדה צמחוני מומלץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
טוסט יוקרתי רבנות ליד הבית,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין מנחה נוסח אשכנ בראש העין,minyan,minyan,ashkenaz,,ראש העין,Rosh HaAyin,,,✅ OK,minyan
אנטוורפן,destination,,,,אנטוורפן,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אנטריקוט ליד הבית,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בורקס שווה רבנות בתאילנד,restaurant,restaurant,,,תאילנד,Thailand,,,✅ OK?,לא נספר
מסעדה טבעוני זול לידי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
שווארמה מומלץ ברמלה,restaurant,restaurant,,,רמלה,Ramla,,,✅ OK?,לא נספר
מסעדה ים תיכוני שווה בבנגקוק,restaurant,restaurant,,,בנגקוק,Bangkok,,,✅ OK?,לא נספר
מניין נץ במרוקו,minyan,minyan,,,מרוקו,Morocco,,,✅ OK,minyan
מילאנו,destination,,,,מילאנו,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בית כנסת נוסח אשכנז בנס ציונ,synagogue,synagogue,ashkenaz,ashkenaz,נס ציונה,Bnei Brak,,,✅ OK?,לא נספר
שוקולד,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
שוקולד גלאט בפתח תקווה,restaurant,restaurant,,,פתח תקווה,Petah Tikva,,,✅ OK?,לא נספר
פוקה מהדרין פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת בזכרון יעקב,synagogue,synagogue,,,זכרון יעקב,Zichron Yaakov,,,✅ OK?,לא נספר
בתי כנסת ביבנה,synagogue,synagogue,,,יבנה,Yavne,,,✅ OK?,לא נספר
מניין מנחה וערבית באשקלון,minyan,minyan,,,אשקלון,Ashkelon,,,✅ OK,minyan
תאילנד,destination,minyan,,,תאילנד,Thailand,,,✅ OK,minyan
בית כנסת בברצלונה,synagogue,synagogue,,,ברצלונה,Barcelona,,,✅ OK?,לא נספר
טוסט בבני ברק ליד הים,restaurant,restaurant,,,בני ברק,Bnei Brak,,,✅ OK?,לא נספר
בית כנסת ספרדי בהוד השרון,synagogue,synagogue,sfarad,sfarad,הוד השרון,Hod HaSharon,,,✅ OK?,לא נספר
מניין מנחה וערבית באיטליה,minyan,minyan,,,איטליה,Italy,,,✅ OK,minyan
מסעדה תימני גלאט כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
ארוחת שבת בבואנוס איירס,hosting,hosting,,,,Buenos Aires,,,✅ OK,hosting
ארוחת ליל שבת ליד הבית,hosting,hosting,,,הוד השרון,Tel Aviv,,,✅ OK,hosting
מסעדה תימני ברמת השרון,restaurant,restaurant,,,רמת השרון,Ramat HaSharon,,,✅ OK?,לא נספר
מסעדה מקסיקני זול ליד תאילנד,restaurant,restaurant,,,תאילנד,Thailand,,,✅ OK?,לא נספר
מניין ערבית בראשון לציון,minyan,minyan,,,ראשון לציון,Rishon LeZion,,,✅ OK,minyan
בקלאווה בד״ץ במגדל העמק,restaurant,restaurant,,,מגדל העמק,Migdal HaEmek,,,✅ OK?,לא נספר
גלידה באשקלון,restaurant,restaurant,,,אשקלון,Ashkelon,,,✅ OK?,לא נספר
פתח תקווה,destination,destination,,,פתח תקווה,Petah Tikva,,,✅ OK,destination
אסאדו יוקרתי במודיעין פתוח עכשיו,restaurant,restaurant,,,מודיעין,Modiin,,,✅ OK?,לא נספר
בית כנסת ליד ירושלים,synagogue,synagogue,,ashkenaz,ירושלים,Jerusalem,,,✅ OK?,לא נספר
ניוקי גלאט ליד ראשון לציון,restaurant,restaurant,,,ראשון לציון,Rishon LeZion,,,✅ OK?,לא נספר
מחפש מלאווח טוב במדריד,restaurant,restaurant,,,מדריד,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מקום טוב לאכול בנהריה,restaurant,restaurant,,,נהריה,Nahariya,,,✅ OK?,לא נספר
שוקולד קרוב אליי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
נאפולי,destination,,,,נאפולי,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה מקסיקני ליד ראש העין,restaurant,restaurant,,,ראש העין,Rosh HaAyin,,,✅ OK?,לא נספר
מסעדה סיני יוקרתי ליד מדריד,restaurant,restaurant,,,מדריד,Lod,,,✅ OK?,לא נספר
מסעדה תאילנדי הכי טוב,restaurant,restaurant,,,,Thailand,,,✅ OK?,לא נספר
מסעדה מקסיקני לא יקר בחולון,restaurant,restaurant,,,חולון,Holon,,,✅ OK?,לא נספר
מסעדה מרוקאי הכי טוב מהדרי בבני ברק,restaurant,restaurant,,,בני ברק,Bnei Brak,,,✅ OK?,לא נספר
מסעדה בשרי יוקרתי בלונדון,restaurant,restaurant,,,לונדון,London,,,✅ OK?,לא נספר
מסעדה ים תיכוני ליד בודפשט,restaurant,restaurant,,,בודפשט,Budapest,,,✅ OK?,לא נספר
מניין מוסף בטורקיה,minyan,minyan,,,טורקיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה תימני כהי טוב בד״ץ קרוב אליי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
אירוח לשבת לידי,hosting,hosting,,,נאפולי,Tel Aviv,,,✅ OK,hosting
בית כנסת ספרדי בשדרות,synagogue,synagogue,sfarad,sfarad,שדרות,Sderot,,,✅ OK?,לא נספר
ארוחת שבת בבית שמש,hosting,hosting,,,בית שמש,Beit Shemesh,,,✅ OK,hosting
איפה יש אוכל כשר בנס ציונה,restaurant,restaurant,,,נס ציונה,Ness Ziona,,,✅ OK?,לא נספר
אנטריקוט בד״ץ פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
פרגית במגדל העמק,restaurant,restaurant,,,מגדל העמק,Migdal HaEmek,,,✅ OK?,לא נספר
ברלין,destination,destination,,,ברלין,Berlin,,,✅ OK,destination
דגים פתוח עכשיו,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מרק ליד איטליה,restaurant,restaurant,,,איטליה,Italy,,,✅ OK?,לא נספר
מסעדה סיני בקרית גת,restaurant,restaurant,,,קרית גת,Kiryat Gat,,,✅ OK?,לא נספר
פלאפל,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין ערבית ספרדי לידי,minyan,minyan,sfarad,sfarad,,Tel Aviv,,,✅ OK,minyan
פנקייק בנתניה,restaurant,restaurant,,,נתניה,Netanya,,,✅ OK?,לא נספר
בתי כנסת חב״ד בלונדון,synagogue,synagogue,chabad,chabad,לונדון,London,,,✅ OK?,לא נספר
איפה אפשר לאכול המבורגר באשדוד,restaurant,restaurant,,,אשדוד,Ashdod,,,✅ OK?,לא נספר
בית כנסת מרוקאי ליד ציריך,synagogue,synagogue,sfarad,sfarad,ציריך,Lod,,,✅ OK?,לא נספר
גלידה גלאט ליד טוקיו,restaurant,restaurant,,,טוקיו,Lod,,,✅ OK?,לא נספר
בתי כנסת ליטאי,synagogue,synagogue,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK?,לא נספר
איפה אפשר לאכול חביתה בשדרות,restaurant,restaurant,,,שדרות,Sderot,,,✅ OK?,לא נספר
גלידה ליד תל אביב,restaurant,restaurant,,,תל אביב,Tel Aviv,,,✅ OK?,לא נספר
ניוקי לארוחת ערב,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בתי כנסת בראשון לציון,synagogue,synagogue,,,ראשון לציון,Rishon LeZion,,,✅ OK?,לא נספר
ציריך,destination,,,,ציריך,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה טבעוני יוקרתי בבלגיה,restaurant,restaurant,,,בלגיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה מקסיקני באשדוד,restaurant,restaurant,,,אשדוד,Ashdod,,,✅ OK?,לא נספר
ארוחת ליל שבת ליד הית,hosting,hosting,,,נהריה,Lod,,,✅ OK,hosting
בייגל,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
אסאדו לא יקר ליד לוס אנג׳לס,restaurant,restaurant,,,לוס אנג׳לס,Los Angeles,,,✅ OK?,לא נספר
בית כנסת שאמי,synagogue,synagogue,teimanim,teimanim,,Tel Aviv,,,✅ OK?,לא נספר
גלידה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
סעודה שלישית לידי,hosting,hosting,,,נהריה,Tel Aviv,,,✅ OK,hosting
בית כנסת מרוקאי קרוב אליי,synagogue,synagogue,sfarad,sfarad,,Tel Aviv,,,✅ OK?,לא נספר
לינה לשבת בבנגקוק,hosting,hosting,,,,Bangkok,,,✅ OK,hosting
טוקיו,destination,,,,טוקיו,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
לזניה רבנות ליד מונטריאול לארוחת ערב,restaurant,restaurant,,,מונטריאול,Montreal,,,✅ OK?,לא נספר
מסעדה בשרי מומלץ בד״ץ ליד בודפשט,restaurant,restaurant,,,בודפשט,Budapest,,,✅ OK?,לא נספר
מחפש ריזוטו טוב בקזבלנקה,restaurant,restaurant,,,קזבלנקה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה תימני הכי טוב בד״ץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בתי כנסת נוסח אשכנז ליד הבית,synagogue,synagogue,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה אסייתי גלאט ליד הבית ליד הים,restaurant,restaurant,,,,Lod,,,✅ OK?,לא נספר
מניין שחרית במודיעין,minyan,minyan,,,מודיעין,Modiin,,,✅ OK,minyan
פוקה בגן יבנה,restaurant,restaurant,,,גן יבנה,Gan Yavne,,,✅ OK?,לא נספר
מסעדה טבעוני באיסטנבול ליד הים,restaurant,restaurant,,,איסטנבול,Lod,,,✅ OK?,לא נספר
בית שמש,destination,synagogue,,,בית שמש,Beit Shemesh,,,✅ OK,synagogue
מסעדה תאילנדי גלאט ליד רעננה עם משלוחים,restaurant,restaurant,,,רעננה,Ra'anana,,,✅ OK?,לא נספר
בת כנסת ברמת גן,synagogue,synagogue,,,רמת גן,Ramat Gan,,,✅ OK?,לא נספר
מסעדה יפני באנטוורפן למשפחות,restaurant,restaurant,,,אנטוורפן,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
גדרה,destination,destination,,,גדרה,Gedera,,,✅ OK,destination
ריזוטו בברצלונה,restaurant,restaurant,,,ברצלונה,Barcelona,,,✅ OK?,לא נספר
מאפים מהדרין בפתח תקווה,restaurant,restaurant,,,פתח תקווה,Petah Tikva,,,✅ OK?,לא נספר
מסעדה איטלקי זול בבני ברק,restaurant,restaurant,,,בני ברק,Bnei Brak,,,✅ OK?,לא נספר
פרגית בהוד השרון,restaurant,restaurant,,,הוד השרון,Hod HaSharon,,,✅ OK?,לא נספר
מסעדה ים תיכוני לא יקר בטוקיו,restaurant,restaurant,,,טוקיו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה חלי בד״ץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
